filename time point wordno word wordpoint ST hz
meseltel 0.5619 26 word3 az 6 0.92 105.43
meseltel 0.5716 27 word3 az 7 0.91 105.38
meseltel 0.5813 28 word3 az 8 1.01 106.03
meseltel 0.5910 29 word3 az 9 1.23 107.35
meseltel 0.6007 30 word3 az 10 1.48 108.94
meseltel 0.6190 31 word4 or 1 1.69 110.26
meseltel 0.6373 32 word4 or 2 1.15 106.88
meseltel 0.6556 33 word4 or 3 0.65 103.83
meseltel 0.6739 34 word4 or 4 1.37 108.24
meseltel 0.6921 35 word4 or 5 2.39 114.81
meseltel 0.7104 36 word4 or 6 2.71 116.95
meseltel 0.7287 37 word4 or 7 2.64 116.46
meseltel 0.7470 38 word4 or 8 2.45 115.22
meseltel 0.7653 39 word4 or 9 2.43 115.04
meseltel 0.7836 40 word4 or 10 2.56 115.94
meseltel 0.8048 41 word5 vos 1 2.74 117.16
meseltel 0.8261 42 word5 vos 2 2.99 118.85
meseltel 0.8474 43 word5 vos 3 3.20 120.31
meseltel 0.8686 44 word5 vos 4 3.32 121.15
meseltel 0.8899 45 word5 vos 5 3.16 120.04
meseltel 0.9112 46 word5 vos 6 2.97 118.72
meseltel 0.9324 47 word5 vos 7 3.17 120.12
meseltel 0.9537 48 word5 vos 8 3.38 121.59
meseltel 0.9750 49 word5 vos 9 3.55 122.76
meseltel 0.9962 50 word5 vos 10 3.72 123.96
meseltel 1.0111 51 word6 hoz 1 3.84 124.80
meseltel 1.0261 52 word6 hoz 2 3.95 125.65
meseltel 1.0410 53 word6 hoz 3 4.07 126.54
meseltel 1.0559 54 word6 hoz 4 4.22 127.64
meseltel 1.0708 55 word6 hoz 5 4.40 128.92
meseltel 1.0858 56 word6 hoz 6 4.51 129.74
meseltel 1.1007 57 word6 hoz 7 4.47 129.45
meseltel 1.1156 58 word6 hoz 8 4.45 129.28
meseltel 1.1305 59 word6 hoz 9 4.59 130.37
meseltel 1.1455 60 word6 hoz 10 4.83 132.17
meseltel 1.1522 61 word7 a 1 4.86 132.43
meseltel 1.1589 62 word7 a 2 4.83 132.16
meseltel 1.1656 63 word7 a 3 4.72 131.31
meseltel 1.1723 64 word7 a 4 4.52 129.86
meseltel 1.1790 65 word7 a 5 4.31 128.29
meseltel 1.1858 66 word7 a 6 4.13 126.94
meseltel 1.1925 67 word7 a 7 4.00 126.00
meseltel 1.1992 68 word7 a 8 3.97 125.77
meseltel 1.2059 69 word7 a 9 4.01 126.08
meseltel 1.2126 70 word7 a 10 4.07 126.53
meseltel 1.2227 71 word8 ki 1 4.14 127.03
meseltel 1.2328 72 word8 ki 2 4.10 126.72
meseltel 1.2428 73 word8 ki 3 3.94 125.53
meseltel 1.2529 74 word8 ki 4 3.69 123.77
meseltel 1.2630 75 word8 ki 5 3.42 121.82
meseltel 1.2731 76 word8 ki 6 3.14 119.89
meseltel 1.2831 77 word8 ki 7 2.86 117.99
meseltel 1.2932 78 word8 ki 8 2.59 116.11
meseltel 1.3033 79 word8 ki 9 2.30 114.22
meseltel 1.3134 80 word8 ki 10 2.01 112.34
meseltel 1.3290 81 word9 rol 1 1.55 109.37
meseltel 1.3447 82 word9 rol 2 1.07 106.36
meseltel 1.3603 83 word9 rol 3 0.66 103.91
meseltel 1.3759 84 word9 rol 4 0.49 102.88
meseltel 1.3916 85 word9 rol 5 0.44 102.55
meseltel 1.4072 86 word9 rol 6 0.43 102.49
meseltel 1.4229 87 word9 rol 7 0.46 102.67
meseltel 1.4385 88 word9 rol 8 0.51 103.02
meseltel 1.4542 89 word9 rol 9 0.68 104.00
meseltel 1.4698 90 word9 rol 10 0.87 105.12
meseltel 1.4776 91 word10 an 1 0.92 105.45
meseltel 1.4853 92 word10 an 2 0.94 105.57
meseltel 1.4931 93 word10 an 3 0.94 105.56
meseltel 1.5009 94 word10 an 4 0.94 105.56
meseltel 1.5087 95 word10 an 5 0.97 105.79
meseltel 1.5164 96 word10 an 6 1.06 106.34
meseltel 1.5242 97 word10 an 7 1.18 107.04
meseltel 1.5320 98 word10 an 8 1.29 107.71
meseltel 1.5397 99 word10 an 9 1.36 108.19
meseltel 1.5475 100 word10 an 10 1.40 108.45
meseltel 1.5558 101 word11 yit 1 1.42 108.56
meseltel 1.5641 102 word11 yit 2 1.43 108.61
meseltel 1.5724 103 word11 yit 3 1.44 108.70
meseltel 1.5807 104 word11 yit 4 1.47 108.87
meseltel 1.5890 105 word11 yit 5 1.50 109.07
meseltel 1.5973 106 word11 yit 6 1.53 109.26
meseltel 1.6056 107 word11 yit 7 1.56 109.41
meseltel 1.6139 108 word11 yit 8 1.58 109.54
meseltel 1.6222 109 word11 yit 9 1.59 109.62
meseltel 1.6305 110 word11 yit 10 1.59 109.61
meseltel 1.6604 111 word12 mes 1 1.55 109.38
meseltel 1.6902 112 word12 mes 2 1.24 107.45
meseltel 1.7201 113 word12 mes 3 0.38 102.23
meseltel 1.7499 114 word12 mes 4 -0.32 98.20
meseltel 1.7798 115 word12 mes 5 -0.45 97.41
meseltel 1.8096 116 word12 mes 6 -0.17 99.02
meseltel 1.8395 117 word12 mes 7 0.56 103.30
meseltel 1.8693 118 word12 mes 8 1.37 108.22
meseltel 1.8992 119 word12 mes 9 2.14 113.19
meseltel 1.9290 120 word12 mes 10 3.05 119.27
meseltel 1.9447 121 word13 el 1 3.53 122.65
meseltel 1.9603 122 word13 el 2 3.83 124.74
meseltel 1.9760 123 word13 el 3 3.92 125.40
meseltel 1.9917 124 word13 el 4 3.86 125.01
